month_day,title,body,reflection,language,status,source
01-30,PARTILHAR COM OS OUTROS,"""Devemos dar livremente e com gratidão aquilo que livremente e com gratidão foi dado a nós. "" Texto Básico, p. 56

Em recuperação, recebemos muitas dádivas. Uma delas talvez seja o despertar espiritual que começa quando paramos de usar, ficando mais forte com cada dia em que aplicamos os passos nas nossas vidas. A nova centelha de vida dentro de nós é um resultado directo da nossa nova relação com um Poder Superior, uma relação iniciada e desenvolvida através da vivência os Doze Passos. Devagar, à medida que prosseguimos no nosso programa, a luz da recuperação dissipa a escuridão da nossa doença. Uma das formas de expressarmos a nossa gratidão pelas dádivas de recuperação é ajudarmos outros a descobrirem aquilo que nós descobrimos. Podemos fazer isso de várias maneiras: partilhando em reuniões, fazendo Décimos-Segundos Passos; aceitando um compromisso de apadrinhamento; ou voluntariando-nos para servir em H&I ou na linha telefónica. A vida espiritual que nos foi dada em recuperação precisa de se expressar, pois ""só conservamos aquilo que temos se o partilharmos!""",A dádiva de recuperação cresce quando a partilho. Vou procurar alguém com quem a partilhar.,pt-CV,published,SPH Meditacões.xlsx
01-31,CONFIAR,"""Só por hoje terei confiança em alguém de NA que acredite em mim e queira ajudar-me na minha recuperação. "" Texto Básico, p. 104

Aprender a confiar é uma proposta arriscada. A nossa experiência passada como adictos no activo ensinou-nos que não podíamos confiar nos nossos companheiros. Mais do que isso, não podíamos confiar em nós próprios. Agora que estamos em recuperação, a confiança é essencial. Precisamos de nos agarrar a alguma coisa em que acreditemos e que nos dê esperança na nossa recuperação. Para alguns de nós, a primeira coisa em que podem confiar é nas palavras de outros membros que partilham em reuniões; sentimos a verdade nas suas palavras. Encontrarmos alguém em quem podemos confiar torna mais fácil pedirmos ajuda. E, à medida que confiamos mais na sua recuperação, aprendemos a também confiar na nossa própria recuperação.",Vou decidir confiar em alguém. Vou levar essa confiança por diante.,pt-CV,published,SPH Meditacões.xlsx
02-01,DIFICULDADES,"""Sentíamo-nos diferentes ... Só depois de nos entregarmos é que conseguiremos ultrapassar a loucura da adicção."" Texto Básico, p. 26

""Mas vocês não percebem!"", gaguejávamos, tentando disfarçar. ""Eu sou diferente! Eu estou mesmo com problemas!"" Dissemos isto vezes sem conta durante a nossa adicção activa, quer fosse para tentar escapar às consequências das nossas acções, quer fosse para evitar seguir as regras que se aplicavam a toda a gente. Talvez tenhamos falado assim na nossa primeira reunião. Talvez até tenhamos dado por nós a lamentar-nos assim recentemente. Muitos de nós sentem-se diferentes ou únicos. Como adictos, podemos utilizar quase tudo para nos isolarmos, mas não há desculpas para fugirmos da recuperação. Não há nada que possa incapacitar-nos para o programa - nem uma doença perigosa, nem a pobreza, nada. Existem milhares de adictos que encontraram recuperação apesar das dificuldades que enfrentaram. Ao praticarem o programa, a sua consciência espiritual aumentou, apesar dessas dificuldades, ou como resposta a elas. As circunstâncias e as diferenças de cada indivíduo são irrelevantes quando se trata de recuperação. Ao deixarmos de achar que somos únicos e ao rendermo-nos a este simples modo de vida, mais tarde ou mais cedo iremos descobrir que nos sentimos parte de algo. E sentirmo-nos parte de algo dá-nos a força para caminhar pela vida, com dificuldades e tudo.","Vou deixar de achar que sou único e vou abraçar os princípios de recuperação que tenho em comum com tantos outros. As minhas dificuldades não me excluem da recuperação; pelo contrário, atraem-me para ela.",pt-CV,published,SPH Meditacões.xlsx
02-02,BOA-VONTADE,"""A boa-vontade é melhor exemplificada através do serviço: Fazer a coisa certa pelo motivo certo."" Texto Básico, p. vii

O egocentrismo encontra-se no centro espiritual da nossa doença. Ao lidarmos com os outros, a única motivação que a nossa adicção nos ensinou foi o egoísmo - nós queríamos o que queríamos, quando queríamos. A obsessão por nós próprios estava bem enraizada nas nossas vidas. Em recuperação, como é que podemos desenraizar essa auto-obsessão? Conseguimos inverter os efeitos da nossa doença ao aplicarmos uns quantos princípios espirituais muito simples. Para contrariar a auto-obsessão da nossa adicção, aprendemos a aplicar o principio da boa-vontade. Em vez de procurarmos servir-nos apenas a nós mesmos, começamos a servir os outros. Em vez de pensarmos apenas naquilo que poderemos lucrar com uma dada situação, aprendemos a pensar primeiro no bem-estar dos outros. Quando enfrentamos uma escolha moral, aprendemos a parar, lembramo-nos de princípios espirituais, e agimos de acordo com eles. À medida que começamos a ""fazer as coisas certas pelos motivos certos"", podemos detectar uma mudança em nós. Onde antes éramos governados por vontade própria, somos agora guiados pela nossa boa-vontade para com os outros. O egocentrismo crónico da adicção está a perder a sua influência sobre nós. Estamos a aprender a ""aplicar estes princípios em todas as nossas actividades""; estamos a viver na nossa recuperação, e não na nossa doença.","Onde quer que eu esteja, e o que quer que eu faça, irei procurar servir os outros e não só a mim. Quando me defrontar com um dilema, vou procurar fazer as coisas certas pelos motivos certos.",pt-CV,published,SPH Meditacões.xlsx
02-03,PRECISAMOS UNS DOS OUTROS,"""Qualquer pessoa pode juntar-se a nós independentemente da idade, raça, sexo, crença, religião ou falta desta."" Texto Básico, p. 10

A adicção fechou as nossas mentes a tudo aquilo que fosse novo ou diferente. Não precisávamos de nada, nem de ninguém. Não havia nada que valesse a pena descobrir nas pessoas que não fossem do nosso bairro, que fossem de outra raça ou etnia, ou de outra classe social ou económica. Talvez tenhamos pensado que diferente era sinónimo de mau. Em recuperação não podemos dar-nos ao luxo de ter essas atitudes. Viemos para NA porque as nossas melhores ideias não nos levaram a lado nenhum. Devemos abrir as nossas mentes para ver aquilo que funciona, não importa de onde venha, se quisermos crescer na nossa recuperação. Independentemente do meio de onde viemos, todos nós temos duas coisas em comum com os outros membros de NA, que não partilhamos com mais ninguém: a nossa doença e a nossa recuperação. Dependemos uns dos outros pela nossa experiência partilhada - e quanto maior ela for, melhor. Precisamos de todos os bocadinhos de experiência, de todas as diferentes perspectivas do nosso programa que encontramos, para enfrentarmos os muitos desafios de uma vida limpa. A recuperação nem sempre é fácil. É dos nossos amigos de NA que retiramos a força de que necessitamos para recuperar. Hoje, estamos gratos pela diversidade que existe nos nossos grupos, pois é nessa diversidade que encontramos a nossa força.","Sei que quanto mais diversificada for a experiência do meu grupo, mais capaz ele será de me dar apoio nas diferentes situações que encontrar. Hoje, no meu grupo-base, vou receber adictos de todas as origens.",pt-CV,published,SPH Meditacões.xlsx
02-04,A QUESTÃO NÃO ESTÁ SÓ EM NOS SENTIRMOS BEM,"""Para nós a recuperação é mais do que apenas prazer."" Texto Básico, p. 50

Na nossa adicção activa, muitos de nós sabiam exactamente como nos iriam sentir de um dia para o outro. Bastava ler o rótulo da garrafa ou saber o que estava no pacote. Planeávamos os nossos sentimentos, e todos os dias o nosso objectivo era sentirmo-nos bem. Em recuperação, podemos sentir seja o que for de um dia para o outro, até mesmo de um minuto para o outro. De manhã podemos sentir-nos cheios de energia e felizes, e depois à tarde, estranhamente, tristes e em baixo. Dado que já não planeamos de manhã os nossos sentimentos para o dia, podemos acabar por ter sentimentos algo inconvenientes, tais como sentirmo-nos cansados de manhã e acordados quando são horas de nos deitarmos. Claro que há sempre a possibilidade de podermos sentir-nos bem, mas não é essa a questão. Hoje, a nossa principal preocupação não é sentirmo-nos bem, mas aprender a compreender e a lidar com os nossos sentimentos, sejam eles quais forem. Fazemos isto trabalhando os Passos e partilhando os nossos sentimentos com os outros.","Vou aceitar os meus sentimentos, sejam eles quais forem, tal como são. Vou praticar o programa e aprender a viver com os meus sentimentos.",pt-CV,published,SPH Meditacões.xlsx
02-05,"VOLTA, QUE ISTO RESULTA!","""Estamos gratos por termos sido tão bem recebidos nas reuniões, fazendo-nos sentir confortáveis."" II Texto Básico, p. 94

Lembram-se de como nos sentimos assustados quando entrámos na nossa primeira reunião de NA? Mesmo que tenhamos ido com um amigo, muitos de nós lembram-se de como foi difícil ir a essa primeira reunião. Então o que é que nos fez voltar? Muitos de nós têm recordações gratificantes do acolhimento que receberam e de como isso os fez sentir confortáveis. Quando levantámos a mão como recém-chegados, abrimos a porta para que outros membros se aproximassem de nós e nos dessem as boas-vindas. Por vezes, a diferença entre aqueles adictos que saem da sua primeira reunião e nunca mais voltam a NA e os adictos que ficam à procura de recuperação é um simples abraço de um membro de NA. Quando já estamos limpos há algum tempo, é fácil afastarmo-nos do desfile de recém-chegados - afinal de contas, já vimos tantos a entrar e a sair. Mas os membros com algum tempo limpo podem fazer a diferença entre um adicto que não volta e o adicto que continua a voltar. Ao oferecermos o nosso número de telefone, um abraço, ou darmos apenas as boas-vindas calorosas, estendemos a mão de Narcóticos Anónimos ao adicto que ainda sofre.","Lembro-me do acolhimento que recebi quando cheguei a NA. Hoje, vou expressar a minha gratidão dando um abraço a um recém-chegado.",pt-CV,published,SPH Meditacões.xlsx
02-06,EU NÃO CONSIGO - NÓS CONSEGUIMOS,"""Estávamos convencidos de que conseguiríamos resolver o problema sozinhos e prosseguimos pela vida nessa base. Os resultados foram desastrosos e, por fim, cada um de nós teve de admitir que a auto-suficiência era uma mentira."" Texto Básico, p. 71

""Eu não consigo, mas nós conseguimos."" Esta verdade simples mas profunda começa por aplicar-se à nossa primeira necessidade como membros de NA: Juntos conseguimos mantermo-nos limpos, mas quando nos isolamos estamos em má companhia. Para recuperarmos precisamos do apoio de outros adictos. A auto-suficiência retira-nos mais do que apenas a nossa capacidade de nos mantermos limpos. Com ou sem drogas, viver em vontade própria conduz inevitavelmente ao desastre. Dependemos de outras pessoas para tudo, desde bens e serviços, a amor e companhia. Todavia a vontade própria, põe-nos em constante, em constante conflito com essas mesmas pessoas. Para vivermos uma vida plena, precisamos de estar em harmonia com os outros. Nós não dependemos apenas de outros adictos e de outras pessoas da nossa comunidade. O poder não é uma característica humana, mas nós precisamos do poder para viver. Encontramo-lo num Poder superior a nós próprios, que nos dá a orientação e a força que nos falta, quando estamos sozinhos. Quando fingimos ser auto-suficientes, isolamo-nos da única fonte de poder capaz de guiar-nos eficazmente pela vida: o nosso Poder Superior. A auto-suficiência não funciona. Precisamos de outros adictos, precisamos de outras pessoas e, para vivermos plenamente, precisamos de um Poder superior a nós mesmos.","Vou procurar o apoio de outros adictos em recuperação, a harmonia com os outros na minha comunidade, e o carinho do meu Poder Superior. Eu não consigo, mas nós conseguimos.",pt-CV,published,SPH Meditacões.xlsx
02-07,ISTO NÃO É UM TESTE,"""...encontrámos um Deus amantíssimo e pessoal a quem podemos recorrer."" Texto Básico, p. 32

Alguns de nós entraram em recuperação com a impressão de que as dificuldades da vida eram uma série de testes cósmicos destinados a ensinar-nos algo. Esta ideia torna-se mais aparente quando nos acontece algo de traumático e nos queixamos de que o nosso Poder Superior está a testar-nos. Convencemo-nos de que a nossa recuperação está a ser testada quando alguém nos oferece drogas, ou que o nosso carácter está a ser testado quando nos surge a oportunidade de fazermos algo contrário aos nossos princípios, sem sermos apanhados. Podemos mesmo pensar que a nossa fé está a ser testada quando estamos a passar por uma grande dor devido a uma tragédia nas nossas vidas. Mas um Poder Superior amantíssimo não testa a nossa recuperação, o nosso carácter, ou a nossa fé. A vida simplesmente acontece, e por vezes é dolorosa. Muitos de nós perderam um amor sem ser por uma falha sua. Alguns de nós perderam todos os bens materiais. Alguns de nós até sofreram a perda de filhos. A vida pode ser, por vezes, terrivelmente dolorosa, mas a dor não nos é dada pelo nosso Poder Superior. O que acontece é que esse Poder está sempre ao nosso lado, pronto para nos pegar ao colo se não conseguirmos andar por nós próprios. Não há mal nenhum que possa acontecer na nossa vida, que o Deus da nossa concepção não possa sarar.","Vou acreditar que a vontade do meu Poder Superior para mim é boa, e que eu sou amado. Vou procurar a ajuda do meu Poder Superior em momentos de necessidade.",pt-CV,published,SPH Meditacões.xlsx
02-08,O QUE É UM PADRINHO OU MADRINHA?,"""...sabemos que podemos ir ter com o nosso padrinho ou madrinha, mas é nossa a responsabilidade de entrar em contacto com ele ou ela nessas alturas."" IP n° II, O apadrinhamento

O que é um padrinho ou madrinha? Nós sabemos; é aquela pessoa simpática com quem fomos beber um café depois da nossa primeira reunião. Essa alma generosa que continua a partilhar gratuitamente a sua experiência em recuperação. Aquele que continua a surpreender-nos com uma incrível percepção dos nossos defeitos de carácter. Aquele que está sempre a lembrar-nos de acabar o Quarto Passo, que escuta o nosso Quinto Passo, e que não diz a ninguém o quanto somos estranhos. É muito fácil começarmos a tomar tudo isto por garantido, uma vez que nos habituamos a ter alguém com quem podemos contar. Pode acontecer que percamos a cabeça e digamos a nós próprios: ""Telefono ao meu padrinho mais logo, agora tenho de arrumar a casa, ir às compras, ir atrás daquela beleza..."" E assim acabamos em sarilhos, sem percebermos bem onde falhámos. O nosso padrinho ou madrinha não consegue ler as nossas mentes. Somos nos que temos de os procurar e pedir ajuda. Ou porque precisamos de ajuda com os nossos passos, ou de um inventário à nossa realidade para nos ajudar a endireitar o nosso pensamento distorcido, ou apenas de um amigo, somos nós quem tem de estender a mão. Os padrinhos são carinhosos, sábios, pessoas maravilhosas, e a sua experiência em recuperação é nossa - tudo o que temos a fazer é pedir.","Estou grato pelo tempo, amor e experiência que o meu padrinho ou madrinha partilhou comigo. Hoje vou telefonar-lhe.",pt-CV,published,SPH Meditacões.xlsx
02-09,AUTO-ACEITAÇÃO,"""Quando nos aceitamos a nós mesmos, podemos aceitar os outros nas nossas vidas, incondicionalmente, provavelmente pela primeira vez."" IP nº 19, A

Desde as nossas mais remotas recordações, muitos de nós têm a sensação de nunca terem pertencido. Não importa quantas pessoas estivessem à nossa volta, sentíamo-nos sempre à parte. Tínhamos grande dificuldade em nos integrar. No fundo, acreditávamos que se deixássemos realmente, que nos conhecessem, iriamos ser rejeitados. Talvez tenha sido neste clima de egocentrismo que a nossa adicção começou a germinar. Muitos de nós cobriram a dor do isolamento com uma atitude de desafio. Com efeito, dizíamos ao mundo, ""Vocês não precisam de mim? Bom, eu também não preciso de nenhum de vocês. Tenho as minhas drogas e posso tomar conta de mim!"" Quanto mais a nossa adicção progredia, mais altos eram os muros que construíamos à nossa volta. Esses muros começam a cair quando começamos a encontrar aceitação nos outros adictos em recuperação. Com esta aceitação dos outros, começamos a aprender o importante princípio da auto-aceitação. E quando começamos a aceitar-nos a nós próprios, podemos permitir que outros façam parte das nossas vidas, sem medo de rejeição.","Eu sou aceite em NA; eu pertenço. Hoje, posso com segurança começar a deixar os outros entrarem na minha vida.",pt-CV,published,SPH Meditacões.xlsx
02-10,DIVERTIMENTO!,"""Em recuperação as nossas noções de divertimento mudam."" Texto Básico, p. 118

Em retrospectiva, muitos de nós apercebem-se de que, quando usavam, as suas ideias de divertimento eram algo estranhas. Alguns de nós arranjavam-se e iam para a discoteca. Dançávamos, bebíamos e tomávamos drogas até de madrugada. Mais do que uma vez, houve lutas que se tornaram violentas. Aquilo a que antes chamávamos divertimento, chamamos agora insanidade. Hoje, o nosso conceito de divertimento mudou. Divertimento é agora para nós um passeio junto ao mar a ver as crianças a brincar enquanto o sol se põe no horizonte. Divertimento é ir a um piquenique de NA ou a um espectáculo de comédia numa convenção de NA. Divertimento é arranjarmo-nos para ir ao jantar e não nos preocuparmos que haja insultos e violência. Pela graça de um Poder Superior e da Irmandade de Narcóticos Anónimos, as nossas ideias de divertimento mudaram radicalmente. Hoje, quando estamos acordados a ver o nascer do sol é geralmente porque nos deitámos cedo na noite anterior, e não por termos estado na discoteca até às seis da manhã, com os olhos inchados de uma noite de uso de drogas. E se isto fosse tudo aquilo que temos recebido de Narcóticos Anónimos, seria já suficiente.",Vou divertir-me na minha recuperação.,pt-CV,published,SPH Meditacões.xlsx
02-11,DE MALDIÇÃO A BENCÃO,"""Com a recuperação fomos encontrando a gratidão ... Temos uma doença, mas é possível recuperar dela."" Texto Básico, p. 9

A adicção activa não era nenhuma festa; muitos de nós quase não saíram com vida. Mas lamentarmos a doença, queixando-nos daquilo que ela nos fez, e lamentando-nos pelas condições em que nos deixou - isso apenas nos mantém fechados na amargura e no ressentimento. O caminho para a liberdade e o crescimento espiritual começa onde acaba a amargura, com aceitação. Não queremos com isto negar o sofrimento que a adicção causou. No entanto, foi esta doença que nos trouxe para Narcóticos Anónimos; sem ela, não teríamos procurado, nem tão-pouco encontrado, a dádiva de recuperação. Ao isolar-nos, forçou-nos a procurar uma irmandade. Ao causar-nos sofrimento, deu-nos a experiência necessária para ajudarmos os outros, ajuda que mais ninguém está tão capacitada para dar. Ao deixar-nos de joelhos, a adicção deu-nos a oportunidade de nos rendermos aos cuidados de um Poder Superior amantíssimo. Não desejamos a ninguém a doença da adicção. Mas acontece que nós, adictos, já temos esta doença - mais ainda, sem esta doença provavelmente nunca teríamos embarcado na nossa viagem espiritual. Milhares de pessoas procuram durante toda a sua vida aquilo que nós encontrámos em Narcóticos Anónimos: uma irmandade, um propósito, e um contacto consciente com um Poder Superior. Hoje, estamos gratos por tudo aquilo que esta dádiva nos trouxe.","Vou aceitar o facto de ter uma doença, e vou seguir a dádiva da minha recuperação.",pt-CV,published,SPH Meditacões.xlsx
02-12,VIVER O MOMENTO,"""Lamentávamos o passado, receávamos o futuro, e não sentíamos grande entusiasmo pelo presente."" Texto Básico, p. 8

Até termos vivido o processo de recuperação que se dá quando trabalhamos os Doze Passos, dificilmente encontraremos uma frase mais verdadeira do que a citação acima. A maioria de nós chegou a NA de cabeça baixa, com vergonha, a pensar no passado e a desejar poder voltar atrás e mudá-lo. As nossas fantasias e expectativas sobre o futuro podem ser tão exageradas que, logo num primeiro encontro com alguém, damos connosco a pensar qual o advogado que contrataríamos para um divórcio. Quase todas as experiências fazem com que recordemos algo do passado ou comecemos a projectar o futuro. De início, é difícil mantermo-nos no momento. Parece que os nossos pensamentos não param. Temos grande dificuldade em nos divertirmos. Cada vez que percebermos que os nossos pensamentos não estão centrados naquilo que esteja a acontecer no momento, podemos rezar e pedir a um Deus amantíssimo que nos ajude a sairmos de nós. Se lamentamos o passado, fazemos reparações ao vivermos hoje de modo diferente; se receamos o futuro, trabalhamos para vivermos hoje responsavelmente. Se cada vez que descobrirmos que não estamos a viver o presente praticarmos os passos e rezarmos, vamos reparar que isso já não irá acontecer com a mesma frequência que antes. A nossa fé irá ajudar-nos a viver só por hoje. Iremos ter horas, até mesmo dias, em que a nossa atenção está totalmente centrada no momento presente, e não num passado de que nos arrependamos, ou num futuro que receemos.","Quando vivo plenamente cada momento, abro-me às alegrias que de outra forma me escapariam. Se estou com problemas, vou pedir ajuda a um Deus amantíssimo.",pt-CV,published,SPH Meditacões.xlsx
02-13,AS FORÇAS QUE UNEM,"""Tudo correrá bem sempre que as forças que nos unem sejam maiores do que as que tentam separar-nos."" Texto Básico, p. 68

Muitos de nós sentem que sem NA teriam certamente morrido da nossa doença. Por isso, a sua existência é o nosso cordão de segurança. No entanto, a desunião é um facto ocasional da vida de Narcóticos Anónimos; devemos aprender a responder de uma forma construtiva às influências destrutivas que por vezes surgem na nossa irmandade. Se decidirmos ser uma parte da solução, em vez de sermos parte do problema, estaremos então a seguir a direcção certa. A nossa recuperação pessoal e o crescimento de NA são proporcionais à manutenção de um ambiente de recuperação nas nossas reuniões. Será que estamos dispostos a ajudar o nosso grupo a lidar construtivamente com um conflito? Será que, como membros de um grupo, esforçamo-nos para ultrapassar as dificuldades aberta e honestamente, e com justiça? Será que procuramos promover o bem-estar comum de todos os membros em vez do nosso próprio bem-estar? E, como servidores de confiança, será que tomamos em consideração o efeito que as nossas acções podem ter nos recém-chegados? O serviço pode fazer emergir tanto o melhor como o pior em nós. Mas é geralmente através do serviço que começamos a entrar em contacto com os nossos defeitos de carácter mais fortes. Será que evitamos compromissos de serviço em vez de enfrentarmos aquilo que possamos descobrir sobre nós próprios? Se tivermos em mente a força dos laços que nos unem - a nossa recuperação da adicção activa - tudo irá correr bem.",Vou esforçar-me por servir a nossa irmandade. Não vou ter medo de descobrir quem sou.,pt-CV,published,SPH Meditacões.xlsx
02-14,HONESTIDADE E ESPIRITUALIDADE,"""O direito a um Deus da nossa concepção é total e irrefutável. Por termos este direito, é necessário que sejamos honestos acerca daquilo em que acreditamos, se quisermos crescer espiritualmente."" Texto Básico, p. 30

Nas reuniões, durante o café, ou em conversa com o nosso padrinho ou madrinha, ouvimos os nossos amigos de NA falarem sobre o modo como concebem o seu Poder Superior. Seria fácil ir ""atrás dos outros"", adoptando a crença de outra pessoa, mas, tal como ninguém pode recuperar por nós, também a espiritualidade de alguém não pode substituir a nossa. Temos de procurar honestamente um entendimento de Deus que realmente funcione para nós. Muitos de nós começaram essa procura através da oração e da meditação, e continuaram com as experiências em recuperação. Terá havido momentos em que nos foi dado um poder maior do que o nosso para enfrentarmos os desafios da vida? Quando, em ocasiões conturbadas, procurámos calmamente uma direcção, será que a encontrámos? Que Poder é que julgamos que nos guiou e nos deu forças? Que Poder é que procuramos? Com as respostas a estas perguntas, iremos compreender o nosso Poder Superior suficientemente bem para que possamos sentir-nos seguros e confiantes ao pedir-lhe que cuide da nossa vontade e das nossas vidas. Um entendimento de Deus, que não seja verdadeiramente nosso, poderá resultar por algum tempo mas, a longo prazo, temos de chegar à nossa própria compreensão de um Poder Superior, pois é esse mesmo Poder que irá levar-nos através da nossa recuperação.",Eu procuro um Poder superior a mim mesmo que possa ajudar-me a crescer espiritualmente. Hoje vou examinar honestamente as minhas crenças e chegar ao meu próprio entendimento de Deus.,pt-CV,published,SPH Meditacões.xlsx
02-15,"IMPOTÊNCIA, RESPONSABILIDADE PESSOAL","""Dada a nossa incapacidade para aceitarmos responsabilidades pessoais, criámos de facto os nossos próprios problemas."" Texto Básico, p. 15

Quando nos recusamos a ser responsáveis pelas nossas vidas, abdicamos de todo o nosso poder pessoal. Precisamos de nos lembrar que somos impotentes perante a nossa adicção, e não perante o nosso comportamento como pessoa. Muitos de nós utilizaram erradamente o conceito de impotência para evitarem tomar decisões ou para permanecerem ligados a coisas que já tinham deixado para trás. Temos reivindicado a impotência perante as nossas acções. Temos culpado os outros pela nossa situação, em vez de agirmos positivamente para modificá-la. Se continuarmos a evitar as responsabilidades alegando que somos ""impotentes"", estamos a caminhar em direcção ao mesmo desespero e sofrimento que sentimos durante a nossa adicção activa. As possibilidades de passarmos anos de recuperação a sentirmo-nos como vítimas são muito grandes. Em vez de vivermos as nossas vidas por defeito, podemos aprender a tomar decisões responsáveis e a arriscar. Podemos cometer erros, mas podemos também aprender com esses erros. Uma elevada consciência de nós próprios e uma crescente vontade de aceitar responsabilidades pessoais, dá-nos a liberdade para mudar, para escolher e para crescer.","Os meus sentimentos, as minhas acções e escolhas, são meus. Vou aceitar a responsabilidade por eles.",pt-CV,published,SPH Meditacões.xlsx
02-16,SENTIMENTOS DE FÉ,"""Quando nos recusamos a aceitar a realidade de hoje, estamos a negar a fé no nosso Poder Superior: Isto só pode trazer-nos mais sofrimento."" IP nº 8, Só por hoje

Há dias que não correm como gostaríamos. Os nossos problemas podem ser tão simples como um atacador solto ou termos de estar na fila do supermercado. Ou podemos estar a passar por algo mais sério, tal como perder o emprego, a casa ou um ente querido. Seja o que for, muitas vezes acabamos à procura de uma forma de evitar os nossos sentimentos, em vez de simplesmente reconhecermos que esses sentimentos são dolorosos. Quando parámos de usar, ninguém nos prometeu que tudo iria correr como nós gostaríamos. De facto, podemos ter a certeza de que a vida vai continuar, quer estejamos a usar ou não. Iremos ter dias bons e dias maus, sentimentos confortáveis e sentimentos dolorosos, mas já não precisamos de fugir deles. Podemos sentir dor, perda, tristeza, raiva, frustração - todos esses sentimentos que evitámos com as drogas. Descobrimos que podemos ultrapassar essas emoções limpos. Não iremos morrer e o mundo não irá acabar só porque temos sentimentos desconfortáveis. Aprendemos a acreditar que podemos sobreviver àquilo que cada dia nos trouxer.","Vou demonstrar a minha confiança em Deus, vivendo o dia tal como ele é.",pt-CV,published,SPH Meditacões.xlsx
02-17,"LEVAR A MENSAGEM, NÃO O ADICTO","""Podemos analisá-lo, aconselhá-lo, podemos rezar por ele, tentar ser razoáveis, podemos ameaçá-lo, sová-lo, ou aprisioná-lo, mas ele não irá parar enquanto não quiser parar."" Texto Básico, p. 74

Uma das verdades mais difíceis que temos de enfrentar na nossa recuperação talvez seja a de que somos tão impotentes perante a adicção de alguém quanto o somos perante a nossa própria. Podemos pensar que, porque tivemos um despertar espiritual nas nossas vidas, deveríamos ser capazes de persuadir outro adicto a encontrar recuperação. Mas há limites para aquilo que podemos fazer para ajudar outro adicto. Não podemos forçá-los a parar de usar. Não podemos dar-lhes os resultados dos passos ou crescer por eles. Não podemos tirar-lhes a solidão e a dor. Não há nada que possamos dizer para convencer um adicto assustado a trocar a miséria familiar da adicção pela incerteza assustadora da recuperação. Não podemos entrar na pele de outras pessoas, mudar os seus objectivos, ou decidir o que é melhor para eles. No entanto, se nos recusarmos a tentar exercer esse poder sobre a adicção de alguém, podemos ajudá-lo. Eles podem crescer se os deixarmos enfrentar a realidade, por muito dolorosa que seja. Eles podem tornar-se mais produtivos, de acordo com o seu próprio conceito, desde que não tentemos fazê-lo por eles. Eles podem tornar-se a autoridade das suas próprias vidas, se nós formos apenas autoridades nas nossas. Se conseguirmos aceitar tudo isto, podemos tornar-nos aquilo que é suposto sermos - portadores da mensagem, não do adicto.","Vou aceitar que sou impotente, não apenas perante a minha própria adicção, mas também perante a adicção de todos os outros. Vou levar a mensagem, não o adicto.",pt-CV,published,SPH Meditacões.xlsx
02-18,A PARCERIA DE RECUPERAÇÃO,"""Desde que eu tenha calma e assuma um compromisso com o meu Poder Superior para fazer o melhor que possa, sei que algo vai hoje cuidar de mim."" Basic Text II, p. 120

Muitos de nós sentem que o compromisso fundamental em recuperação é para com o nosso Poder Superior. Sabendo que nos falta o poder para nos mantermos limpos e recuperarmos sozinhos, entramos numa aliança com um Poder superior a nós. Comprometemo-nos a viver nos cuidados do nosso Poder Superior e, em troca, somos guiados por ele. Esta parceria é vital para nos mantermos limpos. Conseguir ultrapassar os primeiros dias de recuperação parece quase sempre ser a coisa mais difícil que já fizemos. Mas a força do nosso compromisso para com a recuperação e o poder do cuidado de Deus são suficientes para nos levar para a frente, só por hoje. A nossa parte nesta relação é fazermos o melhor que pudermos em cada dia, vivendo e fazendo o que tivermos de fazer, aplicando os princípios de recuperação o melhor que pudermos. Prometemos fazer o melhor que podemos - não fingindo, não tentando ser super-homens, mas simplesmente fazendo o trabalho - base de recuperação. Ao cumprirmos a nossa parte desta parceria de recuperação, sentimos o cuidado do nosso Poder Superior.",Vou cumprir o meu compromisso na parceria com o meu Poder Superior.,pt-CV,published,SPH Meditacões.xlsx
02-19,RESERVAS,"""A recaída nunca é um acaso. É antes um sinal de que temos reservas no nosso programa."" Texto Básico, p. 89

Uma reserva é algo que pomos de parte para utilização futura. No nosso caso, uma reserva é a expectativa de que se isto ou aquilo acontecer, de certeza que vamos recair. Que situação é que esperamos que possa ser tão dolorosa que não a suportemos? Talvez pensemos que se o nosso companheiro nos deixar, teremos de ir apanhar uma ""pedra"". Se perdermos o emprego, certamente pensamos que iremos usar. Ou talvez a morte de um ente querido, que não sabemos se conseguiremos suportar. Em qualquer dos casos, as reservas que guardamos dão-nos permissão para usar quando se tornam reais - como frequentemente acontece. Podemos preparar-nos para o sucesso em vez da recaída, examinando as nossas expectativas e modificando-as conforme pudermos. Muitos de nós carregam dentro de si um catálogo de desgraças antecipadas, directamente relacionadas com os nossos medos. Podemos aprender a sobreviver à dor ao observarmos os outros membros viverem através de uma dor semelhante. Podemos aplicar as suas lições às nossas próprias expectativas. Em vez de dizermos a nós mesmos que teremos de ficar ""pedrados"" se isto acontecer, podemos calmamente assegurarmo-nos de que também nós podemos manter-nos limpos apesar daquilo que a vida nos traga hoje.","Vou verificar quaisquer reservas que possam pôr em perigo a minha recuperação, e vou partilhá-las com outro adicto.",pt-CV,published,SPH Meditacões.xlsx
